Time(s),CHAN1(V),CHAN2(V)
-0.023246,-0.468811,-0.009799
-0.023243,-0.448711,0.010301
-0.023240,-0.468811,0.010301
-0.023237,-0.468811,0.010301
-0.023234,-0.468811,0.010301
-0.023230,-0.468811,0.010301
-0.023227,-0.468811,0.010301
-0.023224,-0.468811,0.010301
-0.023221,-0.468811,0.010301
-0.023218,-0.468811,0.030402
-0.023214,-0.468811,0.030402
-0.023211,-0.448711,0.030402
-0.023208,-0.468811,0.030402
-0.023205,-0.448711,0.030402
-0.023202,-0.448711,0.030402
-0.023198,-0.468811,0.030402
-0.023195,-0.468811,0.010301
-0.023192,-0.448711,0.010301
-0.023189,-0.448711,0.030402
-0.023186,-0.448711,0.030402
-0.023182,-0.468811,0.030402
-0.023179,-0.448711,0.030402
-0.023176,-0.448711,0.010301
-0.023173,-0.448711,0.010301
-0.023170,-0.448711,0.030402
-0.023166,-0.448711,0.030402
-0.023163,-0.448711,0.030402
-0.023160,-0.448711,0.030402
-0.023157,-0.448711,0.050502
-0.023154,-0.448711,0.030402
-0.023150,-0.448711,0.050502
-0.023147,-0.448711,0.050502
-0.023144,-0.448711,0.050502
-0.023141,-0.448711,0.050502
-0.023138,-0.448711,0.070603
-0.023134,-0.448711,0.070603
-0.023131,-0.448711,0.070603
-0.023128,-0.428611,0.070603
-0.023125,-0.448711,0.070603
-0.023122,-0.448711,0.090704
-0.023118,-0.428611,0.070603
-0.023115,-0.428611,0.070603
-0.023112,-0.428611,0.090704
-0.023109,-0.428611,0.110804
-0.023106,-0.428611,0.110804
-0.023102,-0.428611,0.130904
-0.023099,-0.448711,0.130904
-0.023096,-0.428611,0.130904
-0.023093,-0.428611,0.130904
-0.023090,-0.428611,0.130904
-0.023086,-0.428611,0.130904
-0.023083,-0.428611,0.151005
-0.023080,-0.428611,0.171106
-0.023077,-0.428611,0.191206
-0.023074,-0.428611,0.191206
-0.023070,-0.428611,0.211307
-0.023067,-0.428611,0.211307
-0.023064,-0.428611,0.231407
-0.023061,-0.428611,0.231407
-0.023058,-0.408510,0.251507
-0.023054,-0.428611,0.251507
-0.023051,-0.428611,0.271608
-0.023048,-0.428611,0.291709
-0.023045,-0.428611,0.291709
-0.023042,-0.408510,0.311809
-0.023038,-0.408510,0.311809
-0.023035,-0.408510,0.331910
-0.023032,-0.408510,0.372111
-0.023029,-0.408510,0.372111
-0.023026,-0.388410,0.412311
-0.023022,-0.408510,0.432412
-0.023019,-0.408510,0.452513
-0.023016,-0.408510,0.472613
-0.023013,-0.408510,0.512814
-0.023010,-0.408510,0.553015
-0.023006,-0.408510,0.573115
-0.023003,-0.388410,0.593216
-0.023000,-0.408510,0.633417
-0.022997,-0.408510,0.673618
-0.022994,-0.388410,0.693719
-0.022990,-0.408510,0.733919
-0.022987,-0.408510,0.774120
-0.022984,-0.388410,0.814321
-0.022981,-0.408510,0.834422
-0.022978,-0.388410,0.854522
-0.022974,-0.388410,0.874623
-0.022971,-0.408510,0.874623
-0.022968,-0.388410,0.894724
-0.022965,-0.388410,0.894724
-0.022962,-0.388410,0.914824
-0.022958,-0.388410,0.914824
-0.022955,-0.388410,0.914824
-0.022952,-0.388410,0.894724
-0.022949,-0.388410,0.894724
-0.022946,-0.388410,0.874623
-0.022942,-0.388410,0.854522
-0.022939,-0.388410,0.834422
-0.022936,-0.368309,0.794221
-0.022933,-0.388410,0.794221
-0.022930,-0.368309,0.754020
-0.022926,-0.388410,0.733919
-0.022923,-0.388410,0.693719
-0.022920,-0.388410,0.673618
-0.022917,-0.368309,0.633417
-0.022914,-0.388410,0.593216
-0.022910,-0.388410,0.573115
-0.022907,-0.388410,0.532914
-0.022904,-0.388410,0.492713
-0.022901,-0.368309,0.472613
-0.022898,-0.368309,0.412311
-0.022894,-0.368309,0.372111
-0.022891,-0.368309,0.352010
-0.022888,-0.388410,0.311809
-0.022885,-0.368309,0.291709
-0.022882,-0.368309,0.291709
-0.022878,-0.388410,0.251507
-0.022875,-0.368309,0.231407
-0.022872,-0.368309,0.211307
-0.022869,-0.368309,0.191206
-0.022866,-0.368309,0.171106
-0.022862,-0.368309,0.171106
-0.022859,-0.368309,0.130904
-0.022856,-0.348209,0.130904
-0.022853,-0.368309,0.110804
-0.022850,-0.368309,0.090704
-0.022846,-0.348209,0.090704
-0.022843,-0.368309,0.090704
-0.022840,-0.368309,0.070603
-0.022837,-0.368309,0.050502
-0.022834,-0.348209,0.050502
-0.022830,-0.368309,0.030402
-0.022827,-0.368309,0.030402
-0.022824,-0.348209,0.030402
-0.022821,-0.368309,0.030402
-0.022818,-0.348209,0.010301
-0.022814,-0.348209,0.010301
-0.022811,-0.348209,-0.009799
-0.022808,-0.348209,-0.009799
-0.022805,-0.348209,-0.009799
-0.022802,-0.348209,-0.029900
-0.022798,-0.348209,-0.029900
-0.022795,-0.348209,-0.029900
-0.022792,-0.328108,-0.029900
-0.022789,-0.348209,-0.050000
-0.022786,-0.348209,-0.050000
-0.022782,-0.348209,-0.050000
-0.022779,-0.348209,-0.050000
-0.022776,-0.348209,-0.050000
-0.022773,-0.348209,-0.070101
-0.022770,-0.348209,-0.070101
-0.022766,-0.328108,-0.070101
-0.022763,-0.348209,-0.090201
-0.022760,-0.348209,-0.070101
-0.022757,-0.328108,-0.070101
-0.022754,-0.328108,-0.070101
-0.022750,-0.328108,-0.090201
-0.022747,-0.348209,-0.090201
-0.022744,-0.328108,-0.090201
-0.022741,-0.328108,-0.090201
-0.022738,-0.328108,-0.110301
-0.022734,-0.328108,-0.090201
-0.022731,-0.328108,-0.110301
-0.022728,-0.328108,-0.110301
-0.022725,-0.328108,-0.110301
-0.022722,-0.328108,-0.110301
-0.022718,-0.328108,-0.090201
-0.022715,-0.328108,-0.090201
-0.022712,-0.328108,-0.090201
-0.022709,-0.328108,-0.090201
-0.022706,-0.328108,-0.090201
-0.022702,-0.328108,-0.090201
-0.022699,-0.328108,-0.090201
-0.022696,-0.328108,-0.070101
-0.022693,-0.328108,-0.090201
-0.022690,-0.308007,-0.090201
-0.022686,-0.308007,-0.090201
-0.022683,-0.328108,-0.090201
-0.022680,-0.308007,-0.090201
-0.022677,-0.308007,-0.090201
-0.022674,-0.328108,-0.090201
-0.022670,-0.308007,-0.090201
-0.022667,-0.308007,-0.090201
-0.022664,-0.308007,-0.110301
-0.022661,-0.287907,-0.090201
-0.022658,-0.308007,-0.090201
-0.022654,-0.328108,-0.110301
-0.022651,-0.328108,-0.110301
-0.022648,-0.308007,-0.110301
-0.022645,-0.308007,-0.130402
-0.022642,-0.308007,-0.110301
-0.022638,-0.308007,-0.110301
-0.022635,-0.287907,-0.130402
-0.022632,-0.308007,-0.130402
-0.022629,-0.308007,-0.110301
-0.022626,-0.308007,-0.110301
-0.022622,-0.308007,-0.110301
-0.022619,-0.308007,-0.110301
-0.022616,-0.308007,-0.110301
-0.022613,-0.308007,-0.110301
-0.022610,-0.287907,-0.110301
-0.022606,-0.308007,-0.130402
-0.022603,-0.308007,-0.110301
-0.022600,-0.287907,-0.130402
-0.022597,-0.287907,-0.130402
-0.022594,-0.287907,-0.110301
-0.022590,-0.287907,-0.110301
-0.022587,-0.287907,-0.110301
-0.022584,-0.287907,-0.110301
-0.022581,-0.287907,-0.110301
-0.022578,-0.287907,-0.130402
-0.022574,-0.287907,-0.130402
-0.022571,-0.287907,-0.110301
-0.022568,-0.287907,-0.130402
-0.022565,-0.287907,-0.130402
-0.022562,-0.287907,-0.130402
-0.022558,-0.287907,-0.110301
-0.022555,-0.287907,-0.110301
-0.022552,-0.287907,-0.110301
-0.022549,-0.287907,-0.090201
-0.022546,-0.287907,-0.110301
-0.022542,-0.287907,-0.110301
-0.022539,-0.267807,-0.090201
-0.022536,-0.267807,-0.090201
-0.022533,-0.287907,-0.090201
-0.022530,-0.287907,-0.090201
-0.022526,-0.287907,-0.090201
-0.022523,-0.267807,-0.090201
-0.022520,-0.267807,-0.090201
-0.022517,-0.287907,-0.090201
-0.022514,-0.267807,-0.070101
